Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.135067
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.001     0.000     0.000     0.001       50   ActionView::Layouts#_normalize_options 
  0.08      0.000     0.000     0.000     0.000      350   Array#concat 
  0.08      0.000     0.000     0.000     0.000      450   NilClass#to_s 
  0.08      0.000     0.000     0.000     0.000      350   String#b 
  0.08      0.006     0.000     0.000     0.005       50   #<Module:0x00007fc0f3a84718>#authors_path 
  0.08      0.000     0.000     0.000     0.000      100   <Class::ActiveSupport::CurrentAttributes>#reset_all 
  0.08      0.023     0.000     0.000     0.023       50   AuthorsController#index 
  0.07      0.000     0.000     0.000     0.000       50   Array#zip 
  0.07      0.001     0.000     0.000     0.001      100   <Class::ActionDispatch::Request::Utils>#normalize_encode_params 
  0.07      0.064     0.000     0.000     0.064       50   ActionController::Metal#dispatch 
  0.07      0.002     0.000     0.000     0.002      300   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start 
  0.07      0.000     0.000     0.000     0.000      200   #<Class:0x00007fc0f1a66148>#__getobj__ 
  0.07      0.000     0.000     0.000     0.000       50   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.07      0.001     0.000     0.000     0.001       50   ActiveRecord::ConnectionAdapters::QueryCache::ConnectionPoolConfiguration#disable_query_cache! 
  0.07      0.000     0.000     0.000     0.000      200   ActiveSupport::HashWithIndifferentAccess#[] 
  0.07      0.000     0.000     0.000     0.000       50   <Module::Rack::Utils>#clean_path_info 
  0.07      0.002     0.000     0.000     0.002       50   AbstractController::Rendering#_normalize_render 
  0.07      0.001     0.000     0.000     0.001      200   Concurrent::Map#values 
  0.07      0.012     0.000     0.000     0.012       50   ActionController::Rendering#render 
