Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Metal#content_type= 
   NaN      0.000     0.000     0.000     0.000      150   ActionDispatch::Response::ContentTypeHeader#mime_type 
   NaN      0.000     0.000     0.000     0.000      150   ActionDispatch::Response#parse_content_type 
   NaN      0.000     0.000     0.000     0.000      100   ActionDispatch::Response#parsed_content_type_header 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#content_type 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_set_rendered_content_type 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::Accessors#formats 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#_process_format 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#_process_format 
   NaN      0.000     0.000     0.000     0.000      250   Mime::Type#to_sym 
   NaN      0.000     0.000     0.000     0.000      250   Mime::Type#to_s 
   NaN      0.000     0.000     0.000     0.000       50   Mime::Type#== 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Http::MimeNegotiation#negotiate_mime 
   NaN      0.000     0.000     0.000     0.000      150   Hash#keys 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds::Collector#negotiate_format 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds::Collector#custom 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Collector#json 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds::Collector#initialize 
   NaN      0.000     0.000     0.000     0.000      100   ActionDispatch::Http::MimeNegotiation#variant 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds#respond_to 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::Scoping::ScopeRegistry#set_value_for 
   NaN      0.000     0.000     0.000     0.000      100   <Class::ActiveRecord::Scoping::ScopeRegistry>#set_value_for 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::Scoping::ClassMethods#current_scope= 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Relation#scoping 
   NaN      0.000     0.000     0.000     0.000       50   Author::ActiveRecord_Relation#all 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#assert_mutability! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#set_value 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#includes_values= 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#get_value 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#includes_values 
   NaN      0.000     0.000     0.000     0.000       50   Array#flatten! 
   NaN      0.000     0.000     0.000     0.000       50   Symbol#empty? 
   NaN      0.000     0.000     0.000     0.000      100   Array#reject! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#includes! 
   NaN      0.000     0.000     0.000     0.000      100   Kernel#freeze 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::Relation#reset 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::Relation#initialize_copy 
   NaN      0.000     0.000     0.000     0.000      100   Kernel#initialize_clone 
   NaN      0.000     0.000     0.000     0.000      100   Kernel#clone 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::SpawnMethods#spawn 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#check_if_method_has_arguments! 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::QueryMethods#includes 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActiveRecord::Base>#default_scopes 
   NaN      0.000     0.000     0.000     0.000      100   <Class::Author(id: integer, name: string, created_at: datetime, updated_at: datetime)>#default_scope_override 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Scoping::Named::ClassMethods#default_scoped 
